fip,state,pop,x,y,city
99927,AK,426,-133.376372,56.307858,POINT BAKER
99925,AK,851,-133.055503,55.552611,KLAWOCK
99919,AK,744,-132.513815,55.66086,THORNE BAY
99901,AK,13886,-131.683175,55.372028,KETCHIKAN
99840,AK,692,-135.301794,59.468471,SKAGWAY
99833,AK,4253,-133.160683,56.827134,PETERSBURG
99827,AK,2246,-135.542032,59.251886,HAINES
99826,AK,258,-135.761542,58.42835,GUSTAVUS
99824,AK,1802,-134.395041,58.275597,DOUGLAS
99820,AK,1002,-134.371052,57.569832,ANGOON
99801,AK,24947,-134.529429,58.362767,JUNEAU
99786,AK,8,-156.455652,67.46951,AMBLER
99785,AK,198,-166.478578,65.334187,BREVIG MISSION
99782,AK,492,-160.012532,70.620064,WAINWRIGHT
99780,AK,1805,-142.523046,63.435022,BORDER
99778,AK,260,-166.3833,65.240164,TELLER
99777,AK,345,-152.103747,65.156483,TANANA
99772,AK,456,-166.137276,66.230562,SHISHMAREF
99770,AK,0,-158.534287,65.713537,SELAWIK
99769,AK,519,-170.470908,63.679737,SAVOONGA
99768,AK,172,-155.503872,64.720062,RUBY
99765,AK,492,-157.991353,64.778024,NULATO
99761,AK,395,-160.509453,66.97553,NOATAK
99760,AK,393,-149.086744,64.557656,NENANA
99759,AK,139,-162.906148,69.705626,POINT LAY
99757,AK,32,-152.430081,63.903884,LAKE MINCHUMINA
99752,AK,3347,-162.126493,66.846459,KOTZEBUE
99751,AK,306,-157.066864,66.912253,KOBUK
99750,AK,689,-163.733617,67.665859,KIVALINA
99745,AK,64,-154.26443,66.038246,HUGHES
99744,AK,300,-149.1718,64.300693,ANDERSON
99741,AK,847,-156.797701,64.760784,GALENA
99740,AK,662,-145.306439,66.520744,FORT YUKON
99737,AK,4111,-145.613611,64.005426,DOT LAKE
99730,AK,107,-144.74886,65.468058,CENTRAL
99729,AK,210,-148.89735,63.395458,CANTWELL
99722,AK,107,-145.423115,68.077395,ARCTIC VILLAGE
99721,AK,260,-151.679005,68.11878,ANAKTUVUK PASS
99720,AK,170,-152.712155,66.543197,ALLAKAKET
